Name	Age	Gender	Social Status	Notable Traits	Role	Occupation	First Appearance	Personality Traits	Notable Actions	Relationships	visual_characteristics	clothing_colors	AI_agent_name	book_name	entry_date
Queequeg	35	Male	Lower Class	Brave, loyal, skilled harpooner	Supporting Character	Harpooner	Chapter 3	Fearless, noble, open-minded	Saves Ishmael's life, skilled in whaling	Ishmael (friend), Starbuck (colleague)	Muscular, tattooed, exotic appearance	Traditional whaler's attire, colorful patterns	Copilot	Moby Dick	2024-12-17
Starbuck	40	Male	Middle Class	Pragmatic, moral, cautious	Supporting Character	First Mate	Chapter 26	Responsible, ethical, conflicted	Attempts to reason with Ahab, loyal to the crew	Captain Ahab (captain), Stubb (colleague)	Tall, lean, serious expression	First mate's uniform, dark colors	Copilot	Moby Dick	2024-12-17
Stubb	35	Male	Middle Class	Easygoing, humorous, brave	Supporting Character	Second Mate	Chapter 27	Optimistic, fearless, witty	Supports Ahab's quest, maintains crew morale	Starbuck (colleague), Flask (colleague)	Medium height, cheerful demeanor	Second mate's uniform, neutral colors	Copilot	Moby Dick	2024-12-17
Flask	30	Male	Middle Class	Stout, aggressive, determined	Supporting Character	Third Mate	Chapter 27	Headstrong, bold, loyal	Participates in the hunt for Moby Dick	Stubb (colleague), Starbuck (colleague)	Short, stocky, fierce expression	Third mate's uniform, dark colors	Copilot	Moby Dick	2024-12-17
Moby Dick	Unknown	Male		Enormous, white, formidable	Main Antagonist	Whale	Chapter 32 (mentioned)	Mysterious, powerful, elusive	Destroys the Pequod, kills Ahab		Gigantic, white, scarred		Copilot	Moby Dick	2024-12-17
Sherlock Holmes	40	Male	Middle Class	Highly observant, brilliant deductive skills	Main Character	Consulting Detective	Chapter 1	Analytical, eccentric, aloof	Solves the mystery of the hound	Dr. Watson (friend), Inspector Lestrade (colleague)	Tall, lean, sharp features	Deerstalker hat, Inverness cape, dark colors	Copilot	The Hound of the Baskervilles	2024-12-17
Dr. John Watson	45	Male	Middle Class	Brave, loyal, intelligent	Main Character	Doctor, Holmes' companion	Chapter 1	Dependable, empathetic, curious	Assists Holmes in solving the case	Sherlock Holmes (friend), Mary Morstan (wife)	Average height, mustache, kind eyes	Formal suit, bowler hat, neutral colors	Copilot	The Hound of the Baskervilles	2024-12-17
Sir Henry Baskerville	30	Male	Upper Class	Determined, courageous, resilient	Main Character	Heir to Baskerville Hall	Chapter 4	Sturdy, alert, dark-eyed	Survives the hound's attack	Sir Charles Baskerville (uncle), Dr. Mortimer (friend)	Sturdy build, dark eyes	Formal attire, light colors	Copilot	The Hound of the Baskervilles	2024-12-17
Dr. James Mortimer	50	Male	Middle Class	Scientific, rational, loyal	Supporting Character	Doctor	Chapter 1	Practical, curious, supportive	Brings the case to Holmes	Sir Charles Baskerville (friend), Sir Henry Baskerville (friend)	Tall, thin, scholarly appearance	Professional attire, neutral colors	Copilot	The Hound of the Baskervilles	2024-12-17
Mr. Jack Stapleton	35	Male	Middle Class	Deceptive, manipulative, intelligent	Antagonist	Entomologist	Chapter 7	Calm, scheming, short-tempered	Plots to kill Sir Henry	Beryl Stapleton (wife), Sir Charles Baskerville (victim)	Thin, bookish appearance	Simple clothes, dark colors	Copilot	The Hound of the Baskervilles	2024-12-17
Beryl Stapleton	30	Female	Middle Class	Beautiful, fearful, conflicted	Supporting Character		Chapter 7	Enigmatic, distressed, brave	Warns Sir Henry about the danger	Jack Stapleton (husband), Sir Henry Baskerville (love interest)	Beautiful, dark hair, expressive eyes	Simple dress, light colors	Copilot	The Hound of the Baskervilles	2024-12-17
Mr. John Barrymore	50	Male	Lower Class	Loyal, secretive, dutiful	Supporting Character	Butler	Chapter 2	Serious, dedicated, discreet	Helps hide Selden	Mrs. Barrymore (wife), Selden (brother-in-law)	Gaunt, stern features	Butler's uniform, dark colors	Copilot	The Hound of the Baskervilles	2024-12-17
Mrs. Eliza Barrymore	45	Female	Lower Class	Kind, anxious, loyal	Supporting Character	Housekeeper	Chapter 2	Caring, nervous, supportive	Supports her husband in hiding Selden	Mr. Barrymore (husband), Selden (brother)	Portly, kind expression	Housekeeper's attire, dark colors	Copilot	The Hound of the Baskervilles	2024-12-17
Selden	35	Male	Lower Class	Desperate, dangerous, cunning	Supporting Character	Convict	Chapter 9	Reckless, violent, resourceful	Hides on the moor, dies accidentally	Mrs. Barrymore (sister), Mr. Barrymore (brother-in-law)	Rough appearance, unkempt	Simple, ragged clothes, dark colors	Copilot	The Hound of the Baskervilles	2024-12-17
Sir Charles Baskerville	60	Male	Upper Class	Superstitious, philanthropic, nervous	Supporting Character	Lord of Baskerville Hall	Chapter 2	Generous, fearful, kind	Death sparks the investigation	Sir Henry Baskerville (nephew), Dr. Mortimer (friend)	Elderly, distinguished appearance	Formal attire, light colors	Copilot	The Hound of the Baskervilles	2024-12-17
Elizabeth Bennet	20	Female	Middle Class	Intelligent, witty, independent	Main Character	Gentlewoman	Chapter 1	Sharp, lively, strong-willed	Rejects Mr. Collins, marries Mr. Darcy	Jane Bennet (sister), Mr. Darcy (husband)	Average height, dark eyes, expressive face	Simple dresses, light colors	Copilot	Pride and Prejudice	2024-12-17
Fitzwilliam Darcy	28	Male	Upper Class	Proud, reserved, wealthy	Main Character	Gentleman	Chapter 3	Serious, honorable, introspective	Overcomes his pride, marries Elizabeth Bennet	Georgiana Darcy (sister), Elizabeth Bennet (wife)	Tall, handsome, dignified appearance	Formal attire, dark colors	Copilot	Pride and Prejudice	2024-12-17
Jane Bennet	22	Female	Middle Class	Beautiful, gentle, kind	Supporting Character	Gentlewoman	Chapter 1	Sweet, trusting, serene	Falls in love with Mr. Bingley	Elizabeth Bennet (sister), Mr. Bingley (husband)	Tall, fair, graceful	Simple dresses, pastel colors	Copilot	Pride and Prejudice	2024-12-17
Charles Bingley	23	Male	Upper Class	Amiable, wealthy, sociable	Supporting Character	Gentleman	Chapter 3	Friendly, easygoing, generous	Falls in love with Jane Bennet	Mr. Darcy (friend), Jane Bennet (wife)	Handsome, cheerful expression	Formal attire, light colors	Copilot	Pride and Prejudice	2024-12-17
Mr. Bennet	50	Male	Middle Class	Sarcastic, intelligent, detached	Supporting Character	Gentleman	Chapter 1	Cynical, witty, indifferent	Supports Elizabeth's decisions	Mrs. Bennet (wife), Elizabeth Bennet (daughter)	Average height, graying hair	Formal attire, neutral colors	Copilot	Pride and Prejudice	2024-12-17
Mrs. Bennet	45	Female	Middle Class	Foolish, noisy, anxious	Supporting Character	Gentlewoman	Chapter 1	Excitable, frivolous, determined	Obsessed with marrying off her daughters	Mr. Bennet (husband), Elizabeth Bennet (daughter)	Plump, lively expression	Flamboyant dresses, bright colors	Copilot	Pride and Prejudice	2024-12-17
Lydia Bennet	15	Female	Middle Class	Impulsive, flirtatious, reckless	Supporting Character	Gentlewoman	Chapter 1	Giddy, self-centered, naive	Elopes with Mr. Wickham	Elizabeth Bennet (sister), Mr. Wickham (husband)	Young, lively, pretty	Youthful dresses, bright colors	Copilot	Pride and Prejudice	2024-12-17
George Wickham	25	Male	Middle Class	Charming, deceitful, handsome	Antagonist	Militia Officer	Chapter 15	Smooth-talking, manipulative, untrustworthy	Elopes with Lydia Bennet	Mr. Darcy (enemy), Lydia Bennet (wife)	Handsome, charming smile	Militia uniform, dark colors	Copilot	Pride and Prejudice	2024-12-17
Mr. Collins	25	Male	Middle Class	Pompous, obsequious, self-important	Supporting Character	Clergyman	Chapter 13	Servile, verbose, conceited	Proposes to Elizabeth, marries Charlotte Lucas	Charlotte Lucas (wife), Lady Catherine de Bourgh (patron)	Tall, awkward, smug expression	Clergyman's attire, dark colors	Copilot	Pride and Prejudice	2024-12-17
Charlotte Lucas	27	Female	Middle Class	Pragmatic, sensible, plain	Supporting Character	Gentlewoman	Chapter 5	Practical, intelligent, unromantic	Marries Mr. Collins	Elizabeth Bennet (friend), Mr. Collins (husband)	Plain, sensible appearance	Simple dresses, neutral colors	Copilot	Pride and Prejudice	2024-12-17
Lady Catherine de Bourgh	50	Female	Upper Class	Arrogant, domineering, wealthy	Antagonist	Noblewoman	Chapter 14	Overbearing, haughty, authoritative	Tries to prevent Elizabeth and Darcy's marriage	Mr. Darcy (nephew), Anne de Bourgh (daughter)	Regal, imposing presence	Extravagant dresses, dark colors	Copilot	Pride and Prejudice	2024-12-17
Georgiana Darcy	16	Female	Upper Class	Shy, sweet, modest	Supporting Character	Gentlewoman	Chapter 43	Kind-hearted, reserved, gentle	Adored by her brother Mr. Darcy	Mr. Darcy (brother), Elizabeth Bennet (sister-in-law)	Tall, fair, delicate features	Simple dresses, light colors	Copilot	Pride and Prejudice	2024-12-17
Winston Smith	39	Male	Middle Class	Frail, contemplative, rebellious	Main Character	Records Department Employee	Chapter 1	Intellectual, fatalistic, determined	Rebels against the Party, has an affair with Julia	Julia (lover), O'Brien (antagonist)	Thin, pale, weary expression	Party uniform, dark colors	Copilot	1984	2024-12-17
Julia	26	Female	Middle Class	Beautiful, pragmatic, rebellious	Main Character	Fiction Department Employee	Chapter 1	Optimistic, practical, sensual	Has an affair with Winston, defies the Party	Winston Smith (lover), O'Brien (antagonist)	Dark-haired, attractive, lively expression	Party uniform, dark colors	Copilot	1984	2024-12-17
O'Brien	45	Male	Upper Class	Mysterious, powerful, sophisticated	Antagonist	Inner Party Member	Chapter 1	Charismatic, manipulative, ruthless	Deceives Winston, tortures him in Room 101	Winston Smith (victim), Big Brother (ally)	Tall, imposing, stern expression	Inner Party uniform, dark colors	Copilot	1984	2024-12-17
Big Brother	Unknown	Male		Omnipresent, authoritarian, enigmatic	Antagonist	Leader of the Party	Chapter 1	Authoritative, omnipotent, feared	Controls Oceania, instills fear in citizens		Always depicted on posters and telescreens		Copilot	1984	2024-12-17
Mr. Charrington	60	Male	Lower Class	Kindly, deceptive, secretive	Supporting Character	Antique Shop Owner	Chapter 1	Deceptive, cunning, observant	Betrays Winston and Julia to the Thought Police	Winston Smith (victim), Thought Police (ally)	Elderly, benign appearance	Simple clothes, neutral colors	Copilot	1984	2024-12-17
Syme	35	Male	Middle Class	Intelligent, outgoing, orthodox	Supporting Character	Newspeak Specialist	Chapter 1	Enthusiastic, loyal, insightful	Works on the Newspeak dictionary, gets vaporized	Winston Smith (colleague)	Average height, sharp features	Party uniform, dark colors	Copilot	1984	2024-12-17
Parsons	40	Male	Middle Class	Obnoxious, dull, loyal	Supporting Character	Ministry of Truth Employee	Chapter 1	Orthodox, naive, devoted	Reported by his own children for thoughtcrime	Winston Smith (neighbor)	Stout, sweaty, dull expression	Party uniform, dark colors	Copilot	1984	2024-12-17
Emmanuel Goldstein	Unknown	Male		Treacherous, intelligent, rebellious	Supporting Character	Leader of the Brotherhood	Chapter 1	Charismatic, intellectual, elusive	"Author of ""The Theory and Practice of Oligarchical Collectivism"""		Depicted in propaganda, never appears directly		Copilot	1984	2024-12-17
Katharine	30	Female	Middle Class	Orthodox, cold, dutiful	Supporting Character	Winston's Wife	Chapter 1	Unfeeling, loyal, conformist	Separated from Winston due to lack of affection	Winston Smith (husband)	Average height, plain appearance	Simple clothes, neutral colors	Copilot	1984	2024-12-17
Paul Bäumer	19	Male	Middle Class	Thoughtful, sensitive, disillusioned	Main Character	Soldier	Chapter 1	Reflective, compassionate, resilient	Narrates the story, experiences the horrors of war	Stanislaus Katczinsky (friend), Albert Kropp (friend)	Average height, youthful, weary expression	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Stanislaus Katczinsky	40	Male	Lower Class	Resourceful, fatherly, practical	Supporting Character	Soldier	Chapter 1	Clever, caring, protective	Provides for his comrades, dies from shrapnel wound	Paul Bäumer (friend), Albert Kropp (friend)	Stocky, rugged appearance	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Albert Kropp	19	Male	Middle Class	Intelligent, analytical, skeptical	Supporting Character	Soldier	Chapter 1	Thoughtful, critical, loyal	Questions the purpose of war, injured and amputated	Paul Bäumer (friend), Stanislaus Katczinsky (friend)	Tall, thin, serious expression	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Müller	19	Male	Middle Class	Practical, ambitious, inquisitive	Supporting Character	Soldier	Chapter 1	Realistic, determined, straightforward	Asks about post-war plans, dies from a stomach wound	Paul Bäumer (friend), Albert Kropp (friend)	Average height, sturdy build	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Tjaden	19	Male	Lower Class	Voracious, rebellious, humorous	Supporting Character	Soldier	Chapter 1	Defiant, spirited, vengeful	Holds a grudge against Himmelstoss, survives the war	Paul Bäumer (friend), Stanislaus Katczinsky (friend)	Wiry, energetic, mischievous expression	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Kantorek	50	Male	Middle Class	Pompous, nationalistic, authoritative	Antagonist	Schoolmaster	Chapter 1	Manipulative, fervent, persuasive	Pressures students to enlist, represents misguided patriotism	Paul Bäumer (student), Joseph Behm (student)	Short, stern, bespectacled	Formal attire, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Corporal Himmelstoss	40	Male	Lower Class	Petty, cruel, authoritarian	Antagonist	Training Officer	Chapter 1	Strict, vindictive, cowardly	Abuses recruits, later tries to make amends	Paul Bäumer (subordinate), Tjaden (victim)	Short, stocky, stern expression	Uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Franz Kemmerich	19	Male	Middle Class	Fragile, kind, doomed	Supporting Character	Soldier	Chapter 1	Innocent, gentle, tragic	Dies from a leg wound, symbolizes the futility of war	Paul Bäumer (friend), Müller (friend)	Thin, pale, weak appearance	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Joseph Behm	19	Male	Middle Class	Reluctant, pressured, tragic	Supporting Character	Soldier	Chapter 1	Hesitant, fearful, obedient	First to die in the war, pressured into enlisting	Paul Bäumer (friend), Kantorek (schoolmaster)	Average height, youthful, fearful expression	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Detering	25	Male	Lower Class	Homesick, compassionate, practical	Supporting Character	Soldier	Chapter 1	Kind-hearted, nostalgic, desperate	Deserts the army, caught and executed	Paul Bäumer (friend), Stanislaus Katczinsky (friend)	Tall, strong, rugged appearance	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Gérard Duval	30	Male	Middle Class	French, civilian, tragic	Supporting Character	Printer	Chapter 9	Desperate, human, tragic	Killed by Paul in a shell hole, humanizes the enemy	Paul Bäumer (killer)	Average height, dark hair, fearful expression	Civilian clothes, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
Haie Westhus	19	Male	Lower Class	Strong, loyal, simple	Supporting Character	Soldier	Chapter 1	Good-natured, dependable, straightforward	Killed in battle, represents the common soldier	Paul Bäumer (friend), Stanislaus Katczinsky (friend)	Large, muscular, friendly expression	Soldier's uniform, dark colors	Copilot	ALL QUIET ON THE WESTERN FRONT	2024-12-17
James Bond	37	Male	Upper Class	Charming, ruthless, skilled	Main Character	Secret Agent	Chapter 1	Confident, determined, resourceful	Defeats Le Chiffre in baccarat, survives torture	Vesper Lynd (love interest), M (boss)	Tall, athletic, handsome	Tuxedo, dark colors	Copilot	Casino Royale	2024-12-17
Vesper Lynd	25	Female	Middle Class	Beautiful, intelligent, secretive	Main Character	Personal Assistant	Chapter 4	Mysterious, conflicted, brave	Falls in love with Bond, ultimately betrays him	James Bond (love interest), M (boss)	Slender, elegant, dark hair	Evening gown, dark colors	Copilot	Casino Royale	2024-12-17
Le Chiffre	45	Male	Upper Class	Cunning, ruthless, desperate	Antagonist	Paymaster	Chapter 2	Calculating, cruel, intelligent	Loses to Bond in baccarat, tortured and killed by SMERSH	James Bond (adversary), SMERSH (employer)	Stocky, sinister appearance	Formal suit, dark colors	Copilot	Casino Royale	2024-12-17
René Mathis	50	Male	Middle Class	Charming, resourceful, loyal	Supporting Character	French Agent	Chapter 5	Friendly, reliable, intelligent	Assists Bond in his mission	James Bond (colleague), Vesper Lynd (colleague)	Average height, distinguished appearance	Casual attire, neutral colors	Copilot	Casino Royale	2024-12-17
Felix Leiter	35	Male	Middle Class	Easygoing, brave, supportive	Supporting Character	CIA Agent	Chapter 7	Dependable, humorous, courageous	Helps Bond during the mission	James Bond (colleague)	Tall, fair-haired, relaxed demeanor	Casual attire, light colors	Copilot	Casino Royale	2024-12-17
M	60	Female	Upper Class	Authoritative, wise, strategic	Supporting Character	Head of MI6	Chapter 1	Strong-willed, intelligent, commanding	Oversees Bond's mission	James Bond (subordinate), Vesper Lynd (assistant)	Elderly, dignified, stern expression	Formal attire, dark colors	Copilot	Casino Royale	2024-12-17
Mr. White	50	Male	Upper Class	Mysterious, ruthless, strategic	Supporting Character	Criminal	Chapter 20	Cold, calculating, elusive	Eliminates Le Chiffre, involved in larger criminal network	James Bond (adversary)	Tall, imposing, enigmatic appearance	Formal suit, dark colors	Copilot	Casino Royale	2024-12-17
James Bond	35	Male	Upper-Middle Class	Skilled, resourceful, charming	Protagonist	British Secret Service Agent	Chapter 1	Determined, brave, quick-witted	Investigates Mr. Big, survives assassination attempts	Allies with Felix Leiter, romantic interest in Solitaire	Tall, athletic build, dark hair	Typically wears a dark suit	Copilot	Live and Let Die	2024-12-17
M	60	Male	Upper Class	Authoritative, strategic, experienced	Supporting	Head of MI6	Chapter 1	Strict, intelligent, commanding	Directs Bond's missions	Professional relationship with Bond	Older, distinguished appearance	Formal suits, often dark colors	Copilot	Live and Let Die	2024-12-17
Miss Moneypenny	30	Female	Middle Class	Efficient, loyal, discreet	Supporting	Secretary to M	Chapter 1	Charming, witty, professional	Assists Bond and M	Professional relationship with Bond and M	Attractive, professional appearance	Stylish office attire, often in neutral colors	Copilot	Live and Let Die	2024-12-17
Felix Leiter	35	Male	Middle Class	Smart, loyal, resourceful	Ally	CIA Agent	Chapter 4	Brave, dependable, witty	Assists Bond in his mission	Friend and ally to Bond	Tall, lean build, fair hair	Typically wears casual suits	Copilot	Live and Let Die	2024-12-17
Mr. Big (Buonaparte Ignace Gallia)	45	Male	Upper Class	Intelligent, ruthless, powerful	Antagonist	Crime lord	Chapter 2	Cunning, manipulative, intimidating	Runs a criminal empire, uses voodoo to control followers	Commands a network of criminals, has Solitaire under his control	Large, imposing figure, dark skin	Often wears expensive, dark-colored suits	Copilot	Live and Let Die	2024-12-17
