frame	frame0	frame1	frame2	frame3	frame4	frame5	frame6	frame7	sent_cn	abst_lv	lemma_example
Condition_symptom_relation	Attributes	Gradable_attributes	Medical_conditions	Condition_symptom_relation					3	3	cause
Conditional_occurrence	Conditional_occurrence								646	0	if
Conditional_scenario	Alternativity	Conditional_scenario							12	1	if
Conduct	Event	Intentionally_act	Conduct						230	2	manner
Conferring_benefit	Event	Eventive_affecting	Lose_possession	Giving	Conferring_benefit				87	4	benefit
Confronting_problem	Event	Intentionally_act	Confronting_problem						19	2	face
Connecting_architecture	Being_included	Part_piece	Part_whole	Shaped_part	Architectural_part	Connecting_architecture			105	5	stair
Connectors	Entity	Artifact	Connectors						301	2	chain
Conquering	Conquering								89	0	conquer
Contacting	Event	Intentionally_act	Contacting						502	2	reach
Container_focused_placing	Event	Objective_influence	Transitive_action	Container_focused_placing					7	3	brush
Container_focused_removing	Event	Objective_influence	Transitive_action	Container_focused_removing					10	3	clear
Containers	Relation	Basis_for_attribute	Locative_relation	Containing	Containers				2151	4	suitcase
Containing	Relation	Basis_for_attribute	Locative_relation	Containing					87	3	house
Containment_scenario	Containment_scenario								0	0	
Contingency	Contingency								323	0	determine
Continued_state_of_affairs	State_continue	Continued_state_of_affairs							150	1	still
Contrary_circumstances	Concessive	Contrary_circumstances							9	1	in the face of
Contrition	State	Emotions	Contrition						216	2	rue
Control	Event	Objective_influence	Control						27	2	control
Controller_object	Entity	Artifact	Controller_object						66	2	button
Convey_importance	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Convey_importance		114	6	underline
Convoy	Aggregate	Convoy							113	1	convoy
Cooking_creation	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Cooking_creation			132	5	baked
Corporal_punishment	Event	Objective_influence	Transitive_action	Cause_bodily_experience	Cause_harm	Corporal_punishment			48	5	flog
Correctness	Attributes	Gradable_attributes	Correctness						168	2	correctness
Corroding	Corroding								26	0	rust
Corroding_caused	Event	Objective_influence	Transitive_action	Corroding_caused					17	3	corrode
Cotheme	Event	Motion	Self_motion	Cotheme					741	3	lead
Counterattack	Event	Objective_influence	Transitive_action	Intentionally_affect	Attack	Counterattack			40	5	counterattack
Court_examination	Questioning	Court_examination							57	1	cross-examine
Craft	Custom	Craft							32	1	craft
Create_physical_artwork	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Create_physical_artwork			45	5	draw
Create_representation	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Create_physical_artwork	Create_representation		61	6	paint
Creating	Event	Objective_influence	Transitive_action	Creating					225	3	produce
Crime_scenario	Crime_scenario								0	0	
Criminal_investigation	Event	Intentionally_act	Attempt	Work	Seeking_to_achieve	Seeking	Criminal_investigation		137	6	investigation
Criminal_process	Criminal_process								0	0	
Cure	Event	Objective_influence	Transitive_action	Cure					501	3	heal
Custom	Attributes	Gradable_attributes	Frequency	Custom					321	3	traditionally
Cutting	Event	Objective_influence	Transitive_action	Intentionally_affect	Cutting				62	4	slice
Cycle_of_existence_scenario	Entity	Cycle_of_existence_scenario							0	1	
Cycle_of_life_and_death	Cycle_of_existence_scenario	Cycle_of_life_and_death							1	1	dead
Damaging	Event	Objective_influence	Transitive_action	Damaging					119	3	rip
Daring	Event	Intentionally_act	Daring						86	2	risk
Dead_or_alive	State	Dead_or_alive							189	1	alive
Death	Event	Transition_to_state	Ceasing_to_be	Death					305	3	pass away
Deception_end	Deception_end								0	0	
Deception_scenario	Deception_scenario								0	0	
Deception_success	Deception_end	Deception_success							0	1	
Deciding	Event	Intentionally_act	Deciding						101	2	decision
Defending	Event	Objective_influence	Transitive_action	Intentionally_affect	Attack	Defending			108	5	defender
Degree	Importance	Degree							97	1	totally
Degree_of_processing	Event	Objective_influence	Transitive_action	Intentionally_affect	Processing_materials	Degree_of_processing			93	5	raw
Delimitation_of_diversity	Attributes	Gradable_attributes	Position_on_a_scale	Delimitation_of_diversity					35	3	from to
Delimited_state_scenario	Delimited_state_scenario								0	0	
Delivery	Sending	Delivery							174	1	deliver
Deny_or_grant_permission	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Deny_or_grant_permission		216	6	outlaw
Departing	Event	Eventive_affecting	Departing						643	2	departure
Deserving	Required_event	Deserving							101	1	worth
Desirability	Attributes	Gradable_attributes	Desirability						1506	2	desirable
Desirable_event	Attributes	Gradable_attributes	Desirability	Desirable_event					151	3	should
Desiring	Experiencer_focus	Desiring							972	1	care
Destiny	Event	Eventive_affecting	Destiny						44	2	destine
Destroying	Event	Objective_influence	Transitive_action	Destroying					334	3	blow up
Detaching	Event	Objective_influence	Transitive_action	Intentionally_affect	Detaching				49	4	untie
Detaining	Event	Objective_influence	Transitive_action	Intentionally_affect	Inhibit_movement	Detaining			135	5	custody
Detonate_explosive	Event	Objective_influence	Transitive_action	Intentionally_affect	Using	Detonate_explosive			57	5	detonate
Differentiation	Mental_activity	Differentiation							174	1	differentiate
Difficulty	Attributes	Gradable_attributes	Difficulty						658	2	easy
Dimension	Dimension								354	0	area
Direction	Direction								65	0	east
Directional_locative_relation	Relation	Basis_for_attribute	Locative_relation	Directional_locative_relation					352	3	above
Disaster_scenario	Disaster_scenario								0	0	
Discussion	Reciprocality	Chatting	Discussion						641	2	talk to
Disembarking	Event	Eventive_affecting	Departing	Disembarking					77	3	disembark
Disgraceful_situation	Attributes	Gradable_attributes	Social_behavior_evaluation	Disgraceful_situation					52	3	disgraceful
Dispersal	Event	Objective_influence	Transitive_action	Placing	Dispersal				151	4	disseminate
Distant_operated_IED	Entity	Artifact	Weapon	Improvised_explosive_device	Distant_operated_IED				0	4	
Distinctiveness	Attributes	Gradable_attributes	Similarity	Distinctiveness					169	3	distinctive
Distributed_abundance	Distributed_abundance								0	0	
Distributed_position	Relation	Basis_for_attribute	Locative_relation	Distributed_position					230	3	dot
Diversity	Attributes	Gradable_attributes	Similarity	Diversity					119	3	range
Documents	Entity	Artifact	Text	Documents					113	3	document
Dodging	Event	Intentionally_act	Avoiding	Dodging					31	3	dodge
Domain	Domain								62	0	emotionally
Dominate_competitor	Event	Objective_influence	Control	Being_in_control	Dominate_competitor				25	4	dominate
Dominate_situation	First_rank	Dominate_situation							42	1	domination
Domination	Domination								0	0	
Dough_rising	Expansion	Dough_rising							9	1	rise
Downing	Event	Objective_influence	Transitive_action	Downing					36	3	shoot down
Dressing	Entity	Artifact	Clothing	Dressing					121	3	dress
Drop_in_on	Event	Eventive_affecting	Arriving	Visiting_scenario_arrival	Visitor_arrival	Drop_in_on			29	5	drop in
Dunking	Event	Objective_influence	Transitive_action	Placing	Dunking				24	4	dip
Duplication	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Duplication			208	5	replicate
Duration_description	Attributes	Gradable_attributes	Measurable_attributes	Duration_description					474	3	brief
Duration_relation	Relation	Duration_relation							9	1	last
Duration_scenario	Measure_scenario	Duration_scenario							0	1	
Dying	State	Dying							1	1	die
Dynamic_situation_scenario	Dynamic_situation_scenario								0	0	
Dynamism	Attributes	Gradable_attributes	Dynamism						362	2	dynamic
Earnings_and_losses	Event	Getting	Commerce_collect	Earnings_and_losses					93	3	lose
Eclipse	Perception	Perception_experience	Eclipse						265	2	hidden
Economy	Locale	Locale_by_ownership	Political_locales	Economy					121	3	economy
Education_teaching	Event	Objective_influence	Transitive_action	Intentionally_affect	Education_teaching				869	4	tutor
Electricity	Possibility	Capability	Electricity						150	2	electricity
Elusive_goal	Purpose	Elusive_goal							23	1	elude
Emanating	Event	Motion	Emanating						59	2	exude
Emergency	Event	Emergency							1	1	emergency
